original_id,new_id
I1086,1
I1087,2
I1088,3
I1093,4
I7,5
I347,6
I484,7
I558,8
I757,9
I2,10
I5,11
I341,12
I343,13
I477,14
I480,15
I546,16
I549,17
I753,18
I756,19
I3,20
I4,21
I140,22
I141,23
I342,25
I448,26
I5619,27
I478,28
I479,29
I514,30
I515,31
I547,32
I548,33
I699,34
I700,35
I754,36
I755,37
I1040,38
I1041,39
I1095,40
I1096,41
I1190,42
I1191,43
I1205,44
I1206,45
I1302,46
I1303,47
I18,50
I69,51
I98,52
I125,53
I139,54
I1460,55
I146,56
I268,57
I296,58
I322,59
I7670,60
I7671,61
I399,62
I404,63
I419,64
I461,65
I1651,66
I1652,67
I1661,68
I1662,69
I495,70
I499,71
I504,72
I511,73
I1723,74
I1724,75
I1729,76
I528,77
I533,78
I540,79
I567,80
I1736,81
I588,82
I611,83
I1844,84
I711,85
I722,86
I736,87
I1859,88
I1860,89
I766,90
I826,91
I884,92
I905,93
I2142,94
I1048,95
I9,100
I13,101
I56,102
I60,103
I93,104
I96,105
I121,106
I124,107
I137,108
I142,112
I145,113
I261,114
I264,115
I286,116
I289,117
I318,118
I321,119
I7672,120
I7673,121
I369,122
I372,123
I397,124
I398,125
I400,126
I403,127
I417,128
I457,130
I460,131
I6526,132
I6527,133
I6513,134
I6514,135
I490,140
I491,141
I496,142
I497,143
I500,144
I503,145
I507,146
I510,147
I5806,148
I5807,149
I5790,150
I5791,151
I526,154
I527,155
I529,156
I532,157
I536,158
I539,159
I565,160
I7647,161
I586,164
I587,165
I609,166
I610,167
I7666,168
I7665,169
I709,170
I710,171
I718,172
I721,173
I732,174
I735,175
I7667,176
I7668,177
I7169,178
I7170,179
I762,180
I765,181
I824,182
I825,183
I882,184
I883,185
I903,186
I904,187
I1046,190
I1047,191
I10,200
I11,201
I43,202
I44,203
I57,204
I58,205
I80,206
I81,207
I94,208
I95,209
I116,210
I117,211
I122,212
I123,213
I129,214
I130,215
I143,224
I144,225
I251,226
I252,227
I262,228
I263,229
I276,230
I277,231
I287,232
I288,233
I308,234
I309,235
I319,236
I320,237
I330,238
I331,239
I7677,242
I7678,243
I370,244
I371,245
I389,246
I390,247
I401,252
I402,253
I405,254
I406,255
I458,260
I459,261
I467,262
I468,263
I6718,264
I6719,265
I6702,266
I6703,267
I6515,268
I6516,270
I6523,280
I6524,281
I6638,284
I6639,285
I6678,286
I501,288
I502,289
I505,290
I506,291
I508,292
I509,293
I512,294
I513,295
I5792,300
I5793,301
I5798,302
I5799,303
I530,312
I531,313
I534,314
I535,315
I537,316
I538,317
I541,318
I542,319
I7650,320
I7651,321
I7648,322
I7649,323
I719,344
I720,345
I730,346
I731,347
I733,348
I734,349
I737,350
I738,351
I763,360
I764,361
I7640,368
I7641,369
I7254,372
I7255,373
I931,374
I932,375
I7313,380
I7312,382
I1097,400
I1098,401
I1123,402
I1124,403
I1139,404
I1140,405
I1151,406
I1152,407
I4928,408
I4929,409
I4930,410
I4931,411
I1163,412
I1164,413
I1167,414
I1168,415
I1175,416
I1176,417
I1182,418
I1183,419
I1192,424
I1193,425
I1194,426
I1195,427
I1198,428
I1199,429
I1203,430
I1204,431
I1207,448
I1208,449
I1249,450
I1250,451
I1255,452
I1256,453
I1268,454
I1269,455
I1274,456
I1275,457
I1287,458
I1288,459
I1304,460
I1305,461
I1311,462
I1312,463
I1321,464
I1322,465
I1342,466
I1343,467
I1350,468
I1351,469
I4733,470
I1356,471
I1365,472
I1366,473
I1377,474
I1378,475
I1381,476
I1382,477
I1383,478
I1384,479
I3759,488
I3760,489
I3766,490
I3767,491
I1385,492
I1386,493
I1388,494
I1389,495
I1400,508
I1401,509
I1406,510
I1407,511
I6640,568
I6641,569
I1505,580
I1506,581
I304,582
I307,583
I5794,600
I5795,601
I5804,602
I5805,603
I5800,604
I5801,605
I5802,606
I5803,607
I7654,640
I7655,641
I7659,642
I7660,643
I1668,690
I1669,691
I1670,692
I1671,693
I1672,694
I1673,695
I1674,698
I1675,699
I7275,750
I1737,800
I1738,801
I1767,802
I1768,803
I1774,804
I1775,805
I1784,806
I1785,807
I1789,808
I1790,809
I1798,810
I1799,811
I1802,812
I1803,813
I574,814
I583,815
I4950,816
I4951,817
I4952,818
I4953,819
I5827,820
I5828,821
I5830,822
I5831,823
I595,824
I601,825
I604,826
I608,827
I5243,830
I6003,832
I6004,833
I1826,834
I617,836
I1829,837
I1838,838
I1839,839
I1845,848
I1846,849
I1851,850
I1852,851
I1853,856
I1854,857
I714,858
I717,859
I1855,860
I1856,861
I725,862
I728,863
I748,896
I752,897
I1936,898
I1937,899
I774,900
I783,901
I794,902
I801,903
I810,904
I819,905
I2001,906
I2002,907
I2007,908
I2008,909
I747,910
I831,911
I844,912
I851,913
I858,914
I863,915
I2060,916
I2061,917
I871,918
I881,919
I887,920
I892,921
I899,922
I902,923
I2081,924
I2082,925
I2087,926
I2088,927
I2097,928
I2098,929
I914,930
I918,931
I2113,932
I2114,933
I923,934
I939,935
I948,936
I960,937
I963,938
I966,939
I4716,940
I972,941
I977,942
I983,943
I993,944
I1006,945
I1018,946
I1034,947
I2173,948
I2174,949
I1052,950
I1062,951
I2184,952
I2185,953
I1067,954
I1072,955
I2189,956
I1079,957
I1082,958
I1085,959
I7722,976
I7723,977
I7724,978
I7725,979
I1786,980
I3414,981
I7751,982
I7752,983
I302,1164
I303,1165
I305,1166
I306,1167
I5838,1204
I5839,1205
I5840,1206
I5841,1207
I5842,1208
I5843,1209
I5844,1210
I5845,1211
I5846,1212
I5847,1213
I5848,1214
I5849,1215
I7661,1280
I7662,1281
I7663,1282
I7664,1283
I3866,1616
I3867,1617
I3872,1618
I3873,1619
I3994,1620
I3995,1621
I3999,1622
I4000,1623
I5149,1624
I5150,1625
I5134,1626
I5135,1627
I569,1628
I571,1629
I579,1630
I582,1631
I5533,1632
I5534,1633
I5544,1634
I5545,1635
I5032,1636
I5033,1637
I5034,1638
I5035,1639
I591,1648
I594,1649
I599,1650
I600,1651
I602,1652
I603,1653
I605,1654
I606,1655
I612,1672
I615,1673
I2562,1674
I2563,1675
I2568,1676
I2569,1677
I2579,1678
I2580,1679
I5863,1712
I5864,1713
I5865,1714
I5866,1715
I712,1716
I713,1717
I715,1718
I716,1719
I723,1724
I724,1725
I726,1726
I727,1727
I739,1792
I740,1793
I750,1794
I751,1795
I767,1800
I770,1801
I778,1802
I779,1803
I787,1804
I790,1805
I799,1806
I800,1807
I802,1808
I805,1809
I815,1810
I818,1811
I7483,1812
I7482,1813
I7485,1814
I7484,1815
I3105,1818
I3106,1819
I827,1822
I830,1823
I834,1824
I837,1825
I847,1826
I850,1827
I854,1828
I857,1829
I861,1830
I862,1831
I864,1836
I867,1837
I877,1838
I878,1839
I885,1840
I886,1841
I888,1842
I891,1843
I897,1844
I898,1845
I900,1846
I901,1847
I4599,1848
I4600,1849
I2805,1852
I2806,1853
I2807,1854
I2808,1855
I908,1860
I911,1861
I916,1862
I917,1863
I2821,1864
I2822,1865
I2826,1866
I2827,1867
I919,1868
I922,1869
I933,1870
I936,1871
I944,1872
I947,1873
I958,1874
I959,1875
I961,1876
I962,1877
I964,1878
I965,1879
I968,1882
I971,1883
I975,1884
I976,1885
I979,1886
I982,1887
I986,1888
I989,1889
I998,1890
I1001,1891
I1012,1892
I1015,1893
I1026,1894
I1029,1895
I6087,1896
I6088,1897
I6089,1898
I6090,1899
I1049,1900
I1050,1901
I1056,1902
I1059,1903
I5016,1904
I1065,1908
I1066,1909
I1068,1910
I1069,1911
I6110,1912
I6111,1913
I1078,1914
I6112,1915
I1080,1916
I1081,1917
I1083,1918
I1084,1919
I7726,1952
I7727,1953
I7768,1954
I7769,1955
I7731,1956
I7732,1957
I7733,1958
I7734,1959
I7749,1962
I7750,1963
I7753,1964
I7754,1965
I7755,1966
I7756,1967
I6100,2328
I6101,2329
I6102,2330
I6103,2331
I3985,3232
I3990,3234
I3991,3235
I3992,3238
I3993,3239
I4001,3240
I4002,3241
I4005,3242
I4006,3243
I4009,3244
I4010,3245
I4016,3246
I4017,3247
I6338,3248
I5486,3252
I5487,3253
